Cluster,Cluster_Name,Usage_kWh,CO2_tCO2,Lagging_PF,Sim_Cluster0,Sim_Cluster1,Sim_Cluster2,Top_Gap_Feature,Top_Gap_Value,Top_Priority,Top_Recommendation,N_Recommendations,Best_Sim
0,Low Load - Idle,-0.1524541235926772,0.0,-0.91023243387657,0.2115,-0.0005,0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -0.910, di bawah profil efisien (0.321). Gap = 1.231 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2115
0,Low Load - Idle,0.9672755185444424,1.49267073502145,-0.1733903286134119,0.5448,-0.0011,-0.0008,Leading_Current_Power_Factor,443.8333,1,"Usage = 0.967 (scaled), jauh di atas profil efisien (-0.075). Gap = 1.042 — lakukan audit beban aktif dan identifikasi peralatan boros.",5,0.5448
0,Low Load - Idle,0.8309299567127757,1.0,-0.14026182206786,0.4918,-0.001,-0.0006,Leading_Current_Power_Factor,443.8333,1,"Usage = 0.831 (scaled), jauh di atas profil efisien (-0.075). Gap = 0.906 — lakukan audit beban aktif dan identifikasi peralatan boros.",5,0.4918
0,Low Load - Idle,0.5170793376473412,0.5024752879678589,-0.3248730964467008,0.4066,-0.0009,-0.0004,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -0.325, di bawah profil efisien (0.321). Gap = 0.646 — pasang capacitor bank untuk koreksi daya reaktif lagging.",5,0.4066
0,Low Load - Idle,0.1442413978827198,0.0,-0.5370024044883787,0.2524,-0.0006,-0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -0.537, di bawah profil efisien (0.321). Gap = 0.858 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2524
0,Low Load - Idle,0.0711350345391606,0.0,-0.6687149345444832,0.2497,-0.0006,-0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -0.669, di bawah profil efisien (0.321). Gap = 0.990 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2497
0,Low Load - Idle,0.0097122078261417,0.0,-0.7774512423189957,0.2458,-0.0005,-0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -0.777, di bawah profil efisien (0.321). Gap = 1.099 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2458
0,Low Load - Idle,0.0048860278460984,0.0,-0.835960459524446,0.2512,-0.0006,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -0.836, di bawah profil efisien (0.321). Gap = 1.157 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2512
0,Low Load - Idle,0.0021014353625094,0.0,-0.8060379374833023,0.2492,-0.0005,0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -0.806, di bawah profil efisien (0.321). Gap = 1.127 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2492
0,Low Load - Idle,-0.0782104118227274,0.0,-1.0312583489179803,0.25,-0.0005,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.031, di bawah profil efisien (0.321). Gap = 1.352 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.25
0,Low Load - Idle,-0.0816516406528021,0.0,-1.0969810312583492,0.2555,-0.0006,-0.0002,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.097, di bawah profil efisien (0.321). Gap = 1.418 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2555
0,Low Load - Idle,-0.0782104118227274,0.0,-1.0860272508682878,0.2557,-0.0005,-0.0002,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.086, di bawah profil efisien (0.321). Gap = 1.407 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2557
0,Low Load - Idle,-0.0842524302704854,0.0,-1.0993855196366555,0.2566,-0.0005,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.099, di bawah profil efisien (0.321). Gap = 1.421 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2566
0,Low Load - Idle,-0.0877470713294147,0.0,-1.1001870157627576,0.2559,-0.0005,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.100, di bawah profil efisien (0.321). Gap = 1.421 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2559
0,Low Load - Idle,-0.0877470713294147,0.0,-1.1044616617686351,0.2565,-0.0005,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.104, di bawah profil efisien (0.321). Gap = 1.426 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2565
0,Low Load - Idle,-0.0842524302704854,0.0,-1.1154154421586966,0.2587,-0.0005,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.115, di bawah profil efisien (0.321). Gap = 1.437 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2587
0,Low Load - Idle,-0.0877470713294147,0.0,-1.0943093775046755,0.2567,-0.0004,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.094, di bawah profil efisien (0.321). Gap = 1.415 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2567
0,Low Load - Idle,-0.0877470713294147,0.0,-1.0897675661234307,0.2565,-0.0004,-0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.090, di bawah profil efisien (0.321). Gap = 1.411 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2565
0,Low Load - Idle,-0.0877470713294147,0.0,-1.1001870157627576,0.2576,-0.0004,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.100, di bawah profil efisien (0.321). Gap = 1.421 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2576
0,Low Load - Idle,-0.0842524302704854,0.0,-1.078546620358002,0.2567,-0.0004,-0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.079, di bawah profil efisien (0.321). Gap = 1.400 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2567
0,Low Load - Idle,-0.0842524302704854,0.0,-1.140796152818595,0.2629,-0.0004,-0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.141, di bawah profil efisien (0.321). Gap = 1.462 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2629
0,Low Load - Idle,-0.0782104118227274,0.0,-1.1063318193962066,0.2617,-0.0004,-0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.106, di bawah profil efisien (0.321). Gap = 1.427 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2617
0,Low Load - Idle,-0.093938281482918,0.0,-1.1140796152818595,0.2577,-0.0003,-0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.114, di bawah profil efisien (0.321). Gap = 1.435 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2577
0,Low Load - Idle,-0.1342654391505142,0.0,-1.0090836227624902,0.2346,-0.0002,0.0002,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.009, di bawah profil efisien (0.321). Gap = 1.330 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2346
0,Low Load - Idle,-0.0816516406528021,0.0,-1.1269035532994929,0.2627,-0.0003,-0.0,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.127, di bawah profil efisien (0.321). Gap = 1.448 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2627
0,Low Load - Idle,-0.1168794630994911,0.0,-1.0927063852524717,0.2485,-0.0002,0.0001,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.093, di bawah profil efisien (0.321). Gap = 1.414 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2485
0,Low Load - Idle,-0.1524541235926772,0.0,-1.0275180336628376,0.2301,-0.0001,0.0003,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.028, di bawah profil efisien (0.321). Gap = 1.349 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2301
0,Low Load - Idle,-0.149363768954674,0.0,-1.0390061448036336,0.2322,-0.0001,0.0003,Leading_Current_Power_Factor,443.8333,1,"Lagging PF = -1.039, di bawah profil efisien (0.321). Gap = 1.360 — pasang capacitor bank untuk koreksi daya reaktif lagging.",3,0.2322
